,dataset,node,length,rotation,curve_x,curve_y,beak_radius_start
0,0,A,2.996560273059595,2.4206356415607404,0.31750072271450486,-0.11976702373079058,1.1500228723283705
1,0,B,2.8584859268258094,-1.1493683625857374,0.25616906017731284,0.041960046861215884,1.330736103935021
2,0,R,2.7875025294690783,-0.8127258556589112,0.12808453008865642,0.020980023430607942,1.4812200782619325
3,0,M,2.927523099942702,0.6356336394875015,0.28683489144590885,-0.038903488434787345,1.2403794881316959
4,1,A,3.1848071982350965,1.1930320786568842,0.18231103607594806,-0.18771696708365704,2.0957210539731355
5,1,B,3.1212503564906817,2.866388395701389,0.13217483047335485,-0.5212628926417444,2.368228830060957
6,1,R,2.9128058854170042,2.026842795459429,0.06608741523667742,-0.2606314463208722,1.9759932302532768
7,1,M,3.153028777362889,2.0297102371791365,0.15724293327465144,-0.3544899298627007,2.2319749420170463
8,2,A,3.5489218415949035,-2.0593337251992105,0.07214860866715361,-0.4320513425684413,2.1152582504152355
9,2,B,2.931814025306272,-2.2863690460657207,-0.1652254173567574,-0.9765869530559423,3.3867912969592684
10,2,R,2.823029718124024,-1.6167069021327698,-0.0826127086783787,-0.48829347652797117,2.36302239742217
11,2,M,3.240367933450588,-2.1728513856324656,-0.04653840434480189,-0.7043191478121918,2.751024773687252
12,3,A,3.9159752000145787,-4.7831218678084255,0.037233293816317875,-0.2865965364805743,2.9272694052734876
13,3,B,6.149480757345212,-5.055358475236135,0.16723953869031155,-0.22710784245117194,1.3756691718315275
14,3,R,4.088523180458936,-3.5746781892319914,0.08361976934515578,-0.11355392122558597,1.5060195965010112
15,3,M,5.032727978679896,-4.91924017152228,0.10223641625331471,-0.2568521894658731,2.1514692885525077
16,4,A,2.3835741780113393,-1.9977247474491706,0.36247110292864465,-0.1898080068708268,1.2461700857398572
17,4,B,2.094434396156695,-1.3218063107951072,0.6654895965564788,0.263659099932902,0.8550811366904072
18,4,R,2.3860559423392274,-0.9346579383008983,0.3327447982782394,0.131829549966451,1.1873459724258628
19,4,M,2.2390042870840174,-1.659765529122139,0.5139803497425617,0.03692554653103759,1.0506256112151322
20,5,A,2.366838254881628,-3.063499727570069,-0.20662839548790538,0.2338382017600225,2.869580681498029
21,5,B,1.9723533622279124,-3.6391742135107314,-0.09934464883809942,0.1681780952262086,2.5971601887188878
22,5,R,2.31547237164347,-2.5732846671405643,-0.04967232441904971,0.0840890476131043,2.0692977665276664
23,5,M,2.16959580855477,-3.3513369705404,-0.1529865221630024,0.20100814849311555,2.7333704351084585
24,6,A,4.397567362934447,3.485885747004051,-0.21123479717383514,0.03039850599758799,2.254655767174649
25,6,B,4.1422797552449335,4.214844485644746,-1.0213167353828054,-0.05518602455136323,2.4731379356245133
26,6,R,3.3555750307624006,2.980345201329028,-0.5106583676914027,-0.027593012275681617,2.0192857944925824
27,6,M,4.2699235590896905,3.8503651163243986,-0.6162757662783203,-0.012393759276887621,2.3638968513995815
28,7,A,2.2298107572966237,1.3395695952542153,0.2132154780384632,-0.2765596714617208,1.3297232834119326
29,7,B,2.7196197190013036,1.728425981951411,-0.10965514214488703,-0.3562367355029097,1.374557259162672
30,7,R,2.7189506914396477,1.2221819371690736,-0.054827571072443515,-0.17811836775145484,1.50541083793653
31,7,M,2.4747152381489634,1.533997788602813,0.05178016794678808,-0.31639820348231523,1.3521402712873023
32,8,A,1.8488563913041534,-3.3866442249500306,-0.09350130472700166,0.12104602126016485,1.3715415550126129
33,8,B,1.3562091806013592,-3.6560124359486696,-0.5444426834259949,-0.1406468525113639,0.6537484517416096
34,8,R,1.9200413462261707,-2.585191088857004,-0.27222134171299744,-0.07032342625568196,1.0381950578160484
35,8,M,1.6025327859527563,-3.52132833044935,-0.3189719940764983,-0.00980041562559953,1.0126450033771113
36,9,A,2.1146946154224637,1.8348512918399016,-0.2810825715916102,0.05235056441955449,1.7440493662728749
37,9,B,1.9716390967380448,1.558364550029941,-0.6625381708168933,0.26244195102266643,2.6048659341852254
38,9,R,2.3150530725973506,1.101930367761507,-0.33126908540844663,0.13122097551133322,2.072365284647796
39,9,M,2.043166856080254,1.6966079209349214,-0.47181037120425173,0.15739625772111046,2.17445765022905
