,dataset,sample_idx,length,rotation,curve_x,curve_y,beak_radius_start
0,0,A,3.75,0.0,0.0,0.0,1.5
1,0,B,0.5,-6.283185307179586,-1.0,-1.0,0.5
2,0,M,2.125,-3.141592653589793,-0.5,-0.5,1.0
3,1,A,3.75,0.0,0.0,0.0,1.5
4,1,B,0.5,-6.283185307179586,-1.0,-1.0,1.5
5,1,M,2.125,-3.141592653589793,-0.5,-0.5,1.5
6,2,A,3.75,0.0,0.0,0.0,1.5
7,2,B,0.5,-6.283185307179586,-1.0,-1.0,2.5
8,2,M,2.125,-3.141592653589793,-0.5,-0.5,2.0
9,3,A,3.75,0.0,0.0,0.0,1.5
10,3,B,0.5,-6.283185307179586,-1.0,0.0,0.5
11,3,M,2.125,-3.141592653589793,-0.5,0.0,1.0
12,4,A,3.75,0.0,0.0,0.0,1.5
13,4,B,0.5,-6.283185307179586,-1.0,0.0,1.5
14,4,M,2.125,-3.141592653589793,-0.5,0.0,1.5
15,5,A,3.75,0.0,0.0,0.0,1.5
16,5,B,0.5,-6.283185307179586,-1.0,0.0,2.5
17,5,M,2.125,-3.141592653589793,-0.5,0.0,2.0
18,6,A,3.75,0.0,0.0,0.0,1.5
19,6,B,0.5,-6.283185307179586,-1.0,1.0,0.5
20,6,M,2.125,-3.141592653589793,-0.5,0.5,1.0
21,7,A,3.75,0.0,0.0,0.0,1.5
22,7,B,0.5,-6.283185307179586,-1.0,1.0,1.5
23,7,M,2.125,-3.141592653589793,-0.5,0.5,1.5
24,8,A,3.75,0.0,0.0,0.0,1.5
25,8,B,0.5,-6.283185307179586,-1.0,1.0,2.5
26,8,M,2.125,-3.141592653589793,-0.5,0.5,2.0
27,9,A,3.75,0.0,0.0,0.0,1.5
28,9,B,0.5,-6.283185307179586,0.0,-1.0,0.5
29,9,M,2.125,-3.141592653589793,0.0,-0.5,1.0
30,10,A,3.75,0.0,0.0,0.0,1.5
31,10,B,0.5,-6.283185307179586,0.0,-1.0,1.5
32,10,M,2.125,-3.141592653589793,0.0,-0.5,1.5
33,11,A,3.75,0.0,0.0,0.0,1.5
34,11,B,0.5,-6.283185307179586,0.0,-1.0,2.5
35,11,M,2.125,-3.141592653589793,0.0,-0.5,2.0
36,12,A,3.75,0.0,0.0,0.0,1.5
37,12,B,0.5,-6.283185307179586,0.0,0.0,0.5
38,12,M,2.125,-3.141592653589793,0.0,0.0,1.0
39,13,A,3.75,0.0,0.0,0.0,1.5
40,13,B,0.5,-6.283185307179586,0.0,0.0,1.5
41,13,M,2.125,-3.141592653589793,0.0,0.0,1.5
42,14,A,3.75,0.0,0.0,0.0,1.5
43,14,B,0.5,-6.283185307179586,0.0,0.0,2.5
44,14,M,2.125,-3.141592653589793,0.0,0.0,2.0
45,15,A,3.75,0.0,0.0,0.0,1.5
46,15,B,0.5,-6.283185307179586,0.0,1.0,0.5
47,15,M,2.125,-3.141592653589793,0.0,0.5,1.0
48,16,A,3.75,0.0,0.0,0.0,1.5
49,16,B,0.5,-6.283185307179586,0.0,1.0,1.5
50,16,M,2.125,-3.141592653589793,0.0,0.5,1.5
51,17,A,3.75,0.0,0.0,0.0,1.5
52,17,B,0.5,-6.283185307179586,0.0,1.0,2.5
53,17,M,2.125,-3.141592653589793,0.0,0.5,2.0
54,18,A,3.75,0.0,0.0,0.0,1.5
55,18,B,0.5,-6.283185307179586,1.0,-1.0,0.5
56,18,M,2.125,-3.141592653589793,0.5,-0.5,1.0
57,19,A,3.75,0.0,0.0,0.0,1.5
58,19,B,0.5,-6.283185307179586,1.0,-1.0,1.5
59,19,M,2.125,-3.141592653589793,0.5,-0.5,1.5
60,20,A,3.75,0.0,0.0,0.0,1.5
61,20,B,0.5,-6.283185307179586,1.0,-1.0,2.5
62,20,M,2.125,-3.141592653589793,0.5,-0.5,2.0
63,21,A,3.75,0.0,0.0,0.0,1.5
64,21,B,0.5,-6.283185307179586,1.0,0.0,0.5
65,21,M,2.125,-3.141592653589793,0.5,0.0,1.0
66,22,A,3.75,0.0,0.0,0.0,1.5
67,22,B,0.5,-6.283185307179586,1.0,0.0,1.5
68,22,M,2.125,-3.141592653589793,0.5,0.0,1.5
69,23,A,3.75,0.0,0.0,0.0,1.5
70,23,B,0.5,-6.283185307179586,1.0,0.0,2.5
71,23,M,2.125,-3.141592653589793,0.5,0.0,2.0
72,24,A,3.75,0.0,0.0,0.0,1.5
73,24,B,0.5,-6.283185307179586,1.0,1.0,0.5
74,24,M,2.125,-3.141592653589793,0.5,0.5,1.0
75,25,A,3.75,0.0,0.0,0.0,1.5
76,25,B,0.5,-6.283185307179586,1.0,1.0,1.5
77,25,M,2.125,-3.141592653589793,0.5,0.5,1.5
78,26,A,3.75,0.0,0.0,0.0,1.5
79,26,B,0.5,-6.283185307179586,1.0,1.0,2.5
80,26,M,2.125,-3.141592653589793,0.5,0.5,2.0
81,27,A,3.75,0.0,0.0,0.0,1.5
82,27,B,0.5,-3.141592653589793,-1.0,-1.0,0.5
83,27,M,2.125,-1.5707963267948966,-0.5,-0.5,1.0
84,28,A,3.75,0.0,0.0,0.0,1.5
85,28,B,0.5,-3.141592653589793,-1.0,-1.0,1.5
86,28,M,2.125,-1.5707963267948966,-0.5,-0.5,1.5
87,29,A,3.75,0.0,0.0,0.0,1.5
88,29,B,0.5,-3.141592653589793,-1.0,-1.0,2.5
89,29,M,2.125,-1.5707963267948966,-0.5,-0.5,2.0
90,30,A,3.75,0.0,0.0,0.0,1.5
91,30,B,0.5,-3.141592653589793,-1.0,0.0,0.5
92,30,M,2.125,-1.5707963267948966,-0.5,0.0,1.0
93,31,A,3.75,0.0,0.0,0.0,1.5
94,31,B,0.5,-3.141592653589793,-1.0,0.0,1.5
95,31,M,2.125,-1.5707963267948966,-0.5,0.0,1.5
96,32,A,3.75,0.0,0.0,0.0,1.5
97,32,B,0.5,-3.141592653589793,-1.0,0.0,2.5
98,32,M,2.125,-1.5707963267948966,-0.5,0.0,2.0
99,33,A,3.75,0.0,0.0,0.0,1.5
100,33,B,0.5,-3.141592653589793,-1.0,1.0,0.5
101,33,M,2.125,-1.5707963267948966,-0.5,0.5,1.0
102,34,A,3.75,0.0,0.0,0.0,1.5
103,34,B,0.5,-3.141592653589793,-1.0,1.0,1.5
104,34,M,2.125,-1.5707963267948966,-0.5,0.5,1.5
105,35,A,3.75,0.0,0.0,0.0,1.5
106,35,B,0.5,-3.141592653589793,-1.0,1.0,2.5
107,35,M,2.125,-1.5707963267948966,-0.5,0.5,2.0
108,36,A,3.75,0.0,0.0,0.0,1.5
109,36,B,0.5,-3.141592653589793,0.0,-1.0,0.5
110,36,M,2.125,-1.5707963267948966,0.0,-0.5,1.0
111,37,A,3.75,0.0,0.0,0.0,1.5
112,37,B,0.5,-3.141592653589793,0.0,-1.0,1.5
113,37,M,2.125,-1.5707963267948966,0.0,-0.5,1.5
114,38,A,3.75,0.0,0.0,0.0,1.5
115,38,B,0.5,-3.141592653589793,0.0,-1.0,2.5
116,38,M,2.125,-1.5707963267948966,0.0,-0.5,2.0
117,39,A,3.75,0.0,0.0,0.0,1.5
118,39,B,0.5,-3.141592653589793,0.0,0.0,0.5
119,39,M,2.125,-1.5707963267948966,0.0,0.0,1.0
120,40,A,3.75,0.0,0.0,0.0,1.5
121,40,B,0.5,-3.141592653589793,0.0,0.0,1.5
122,40,M,2.125,-1.5707963267948966,0.0,0.0,1.5
123,41,A,3.75,0.0,0.0,0.0,1.5
124,41,B,0.5,-3.141592653589793,0.0,0.0,2.5
125,41,M,2.125,-1.5707963267948966,0.0,0.0,2.0
126,42,A,3.75,0.0,0.0,0.0,1.5
127,42,B,0.5,-3.141592653589793,0.0,1.0,0.5
128,42,M,2.125,-1.5707963267948966,0.0,0.5,1.0
129,43,A,3.75,0.0,0.0,0.0,1.5
130,43,B,0.5,-3.141592653589793,0.0,1.0,1.5
131,43,M,2.125,-1.5707963267948966,0.0,0.5,1.5
132,44,A,3.75,0.0,0.0,0.0,1.5
133,44,B,0.5,-3.141592653589793,0.0,1.0,2.5
134,44,M,2.125,-1.5707963267948966,0.0,0.5,2.0
135,45,A,3.75,0.0,0.0,0.0,1.5
136,45,B,0.5,-3.141592653589793,1.0,-1.0,0.5
137,45,M,2.125,-1.5707963267948966,0.5,-0.5,1.0
138,46,A,3.75,0.0,0.0,0.0,1.5
139,46,B,0.5,-3.141592653589793,1.0,-1.0,1.5
140,46,M,2.125,-1.5707963267948966,0.5,-0.5,1.5
141,47,A,3.75,0.0,0.0,0.0,1.5
142,47,B,0.5,-3.141592653589793,1.0,-1.0,2.5
143,47,M,2.125,-1.5707963267948966,0.5,-0.5,2.0
144,48,A,3.75,0.0,0.0,0.0,1.5
145,48,B,0.5,-3.141592653589793,1.0,0.0,0.5
